N,P,K,ph,temperature,humidity,rainfall,label,state
102.69346637567872,66.36896197794674,49.749681748395105,6.482844646466872,18.090573144279325,57.447330518359756,68.6000782660651,Wheat,Punjab
110.57216620219108,78.09783894313668,54.96071052895654,6.627074205576756,10.01739101136388,61.12325280828381,69.16598796416557,Wheat,Punjab
99.12451623197809,73.7574192825976,56.139600431714754,6.088162915893309,14.517710719062629,61.752162421616646,61.47646618221292,Wheat,Uttar Pradesh
99.24842349741745,74.5618188526394,40.660403043032666,6.413123216414698,17.41775352791416,68.08260934515945,63.08583559639174,Wheat,Uttar Pradesh
93.08602301412367,67.09861859622993,56.98768399465918,6.899886257314928,10.735296702399138,51.01677338383196,72.14632579002594,Wheat,Uttar Pradesh
90.85656793169882,78.15239660045052,57.92146403622488,6.38339914012582,22.893159481733342,60.92298604489714,58.8353483629094,Wheat,Uttar Pradesh
101.8246107954127,68.10648057298638,55.489242909851114,6.656934323693621,18.16868971540228,56.042041517732486,98.54347155816993,Wheat,Uttar Pradesh
119.39229300136182,67.95924714218076,47.11665832495328,6.990614064608206,15.926267255847861,55.15467200121794,90.23555061965723,Wheat,Uttar Pradesh
115.55033008887024,78.30362800939626,58.85053413264234,7.391500238434194,18.910988965856447,51.13472250282021,70.05073360069278,Wheat,Uttar Pradesh
99.37221413865043,63.08257315639364,57.844023240072346,6.941752237295254,13.726796836673465,68.49067261200837,94.20900123146049,Wheat,Punjab
94.89005860113677,67.23462739448281,52.2967306233547,7.303445783873176,20.341483890119708,53.77655630077922,75.54210799972294,Wheat,Punjab
116.49944018001534,72.21620993890596,45.8549407891117,7.047739776574294,23.31747976625062,67.48593556107345,71.0880679390616,Wheat,Punjab
108.38903372085427,74.26318129831624,55.25896635628051,7.258152481588249,24.632777276097414,50.29603467463817,61.144261152813726,Wheat,Punjab
94.35727750338913,67.06630475674862,44.221826463754795,6.101549267700086,14.919685483612561,56.17943104079188,98.29103289446056,Wheat,Uttar Pradesh
114.03509029936214,61.49544386134446,54.464802299787394,7.031655423874627,17.660525165237516,58.89839491242883,63.45852042775036,Wheat,Punjab
97.3500925561199,66.75021759396685,44.061683702853685,7.033699063775961,16.979060521554977,61.9075660896343,61.61662811720187,Wheat,Punjab
119.26877637749176,77.9254826764374,56.22452890206773,7.0890735219995475,15.249512750626895,52.062681913280365,58.182292717328245,Wheat,Punjab
107.39494057307876,64.88627569589408,46.281785147402005,6.530443229629077,24.071759701069077,62.59103410151795,62.811098330732314,Wheat,Punjab
100.77302422047275,66.69396678559183,40.16803765292777,7.374286018389736,24.906310295226966,60.575950648151746,82.84383850614397,Wheat,Uttar Pradesh
107.32765703621567,76.993667994507,56.15614127600355,7.1670176580777625,13.042857300343139,65.73772788974715,87.96343061029188,Wheat,Punjab
118.22851005203954,74.00628337870317,59.20908836717392,6.031423306115214,20.003950938484067,60.82847570771974,68.49931165330513,Wheat,Uttar Pradesh
116.04961528265164,77.7493946199068,51.97534934316982,7.226464186765228,12.872136249241027,55.56097342723658,91.03141649696536,Wheat,Punjab
